Run	group	Protein.Group	Genes	PG.MaxLFQ	n_peptides
msrC1	msrC	P00579	rpoD	28.37394349813979	35
msrC3	msrC	P00579	rpoD	28.298182580662953	36
WT1	WT	P00582	polA	26.66179255613237	62
WT2	WT	P00582	polA	26.73145701197496	64
WT3	WT	P00582	polA	26.678606586073503	66
bisC1	bisC	P00582	polA	26.55747024582527	62
bisC2	bisC	P00582	polA	26.563206282413447	61
bisC3	bisC	P00582	polA	26.680251878690374	68
msrA1	msrA	P00582	polA	26.775878289010542	64
msrA2	msrA	P00582	polA	26.684147409325494	63
msrA3	msrA	P00582	polA	26.743288042606874	65
msrB1	msrB	P00582	polA	26.482201719723655	65
msrB2	msrB	P00582	polA	26.479810355379996	59
msrB3	msrB	P00582	polA	26.463895753425664	64
msrC1	msrC	P00582	polA	26.68881364515148	65
msrC3	msrC	P00582	polA	26.550311844955054	66
WT1	WT	P00634	phoA	23.1903918298841	16
WT2	WT	P00634	phoA	23.05388330298157	16
WT3	WT	P00634	phoA	23.366978875903552	16
bisC1	bisC	P00634	phoA	23.128931225312297	16
bisC2	bisC	P00634	phoA	23.214450900975965	16
bisC3	bisC	P00634	phoA	23.348224450462606	16
msrA1	msrA	P00634	phoA	22.351131190953748	16
msrA2	msrA	P00634	phoA	22.93419620801809	16
msrA3	msrA	P00634	phoA	23.192869196923077	16
msrB1	msrB	P00634	phoA	22.63465553313006	16
msrB2	msrB	P00634	phoA	23.134349074073253	16
msrB3	msrB	P00634	phoA	23.280239510269002	16
msrC1	msrC	P00634	phoA	22.66965088208555	17
msrC3	msrC	P00634	phoA	22.8563248364124	17
WT1	WT	P00803	lepB	25.26244257814923	16
WT2	WT	P00803	lepB	25.363259717831056	16
WT3	WT	P00803	lepB	25.289872268508756	16
bisC1	bisC	P00803	lepB	25.32634581861906	16
bisC2	bisC	P00803	lepB	25.343505498359264	16
bisC3	bisC	P00803	lepB	25.3731013153576	20
msrA1	msrA	P00803	lepB	25.207850080187722	16
msrA2	msrA	P00803	lepB	25.213870473969543	15
msrA3	msrA	P00803	lepB	25.282444403458097	16
msrB1	msrB	P00803	lepB	25.395170886891528	17
msrB2	msrB	P00803	lepB	25.369594950219074	16
msrB3	msrB	P00803	lepB	25.341526424129366	18
msrC1	msrC	P00803	lepB	25.437212594198687	18
msrC3	msrC	P00803	lepB	25.42530709349876	19
WT1	WT	P00805	ansB	30.322156607335515	33
WT2	WT	P00805	ansB	30.160333244306546	32
WT3	WT	P00805	ansB	30.170938349434063	33
bisC1	bisC	P00805	ansB	29.943365990402768	33
bisC2	bisC	P00805	ansB	29.867163810947957	31
bisC3	bisC	P00805	ansB	29.870584182151497	33
msrA1	msrA	P00805	ansB	30.109245945453672	35
msrA2	msrA	P00805	ansB	30.430519803789004	32
msrA3	msrA	P00805	ansB	30.262093841484127	32
msrB1	msrB	P00805	ansB	29.98841919696742	33
msrB2	msrB	P00805	ansB	30.08961243848192	31
msrB3	msrB	P00805	ansB	29.909304678724254	32
msrC1	msrC	P00805	ansB	30.29953210867583	34
msrC3	msrC	P00805	ansB	30.16783630874601	34
WT1	WT	P00811	ampC	22.89108372697816	25
WT2	WT	P00811	ampC	22.881614751423815	25
WT3	WT	P00811	ampC	22.83860179233197	25
bisC1	bisC	P00811	ampC	22.897169192988432	24
bisC2	bisC	P00811	ampC	22.842257872985233	24
bisC3	bisC	P00811	ampC	23.034131469595188	26
msrA1	msrA	P00811	ampC	22.8623072313278	26
msrA2	msrA	P00811	ampC	22.825955351015985	25
msrA3	msrA	P00811	ampC	22.922826817455142	26
msrB1	msrB	P00811	ampC	22.946027061299944	24
msrB2	msrB	P00811	ampC	22.995889180967342	24
msrB3	msrB	P00811	ampC	22.938854415779243	23
msrC1	msrC	P00811	ampC	23.088230691162053	25
msrC3	msrC	P00811	ampC	23.024619588469324	26
