Protein.Group	log2fc	ci_l	ci_r	mean_abundance	pval	adj_pval	comparison
P0AGF6	-0.41855877791235585	-0.5822090276518067	-0.254908528172905	28.42111762413102	1.666559255272962e-4	0.00533093370328968	WT_vs_bisC
P0A6Z3	0.26176326042786613	0.1593499228291428	0.36417659802658947	28.236724998646288	1.6756328176354776e-4	0.00533093370328968	WT_vs_bisC
P63235	0.6249821855279549	0.3803128196885416	0.8696515513673683	28.126065725971323	1.684006697978971e-4	0.00533093370328968	WT_vs_bisC
P19930	0.80125760592529	0.4842063446339038	1.1183088672166763	23.386379714553453	1.8378997099294353e-4	0.005758120843789231	WT_vs_bisC
Q46861	-0.35685904221348963	-0.4982892682453537	-0.21542881618162554	28.7689732976836	1.861797292238615e-4	0.005773471399095052	WT_vs_bisC
Q59385	0.3786838841878861	0.22793914915720062	0.52942861921857165	24.92988666870076	1.930019498449493e-4	0.005924575005846473	WT_vs_bisC
P37180	-0.5932557354287127	-0.829984969772414	-0.3565265010850113	23.55817086480845	1.968124493469032e-4	0.005940904984006279	WT_vs_bisC
P0ACD8	0.6820038275125384	0.40975377699163656	0.9542538780334402	27.882516695114425	1.9744369969879372e-4	0.005940904984006279	WT_vs_bisC
P0AGB3	0.5469555786611551	0.3277338924596518	0.7661772648626584	20.931641161365828	2.04007475267081e-4	0.006078222718986855	WT_vs_bisC
P76180	-0.47274819001056656	-0.6644281659199345	-0.2810682141011987	22.519812085111063	2.2397235566342876e-4	0.006608271736516117	WT_vs_bisC
P68183	-0.733907094476848	-1.0328494817413685	-0.4349647072123275	22.182006062173908	2.3243317731798743e-4	0.0067919656333592674	WT_vs_bisC
P0AAM1	0.8986265289210955	0.5274797628577393	1.2697732949844518	23.559753601340162	2.5975621068506893e-4	0.007518086897827852	WT_vs_bisC
P00547	0.7483830811248886	0.4336028236963127	1.0631633385534645	24.583087807955913	3.0029309421358515e-4	0.008609346352029108	WT_vs_bisC
P07102	0.7354166849343393	0.4214580465817337	1.049375323286945	24.942346224490084	3.3765419068691635e-4	0.00936740745278209	WT_vs_bisC
P63204	0.7042446584221693	0.4035246399573127	1.004964676887026	23.22067613725959	3.3826463080218833e-4	0.00936740745278209	WT_vs_bisC
P69910	0.7350757445048579	0.42113949898466435	1.0490119900250514	30.12401038276147	3.386969405276613e-4	0.00936740745278209	WT_vs_bisC
P0ACP7	-0.22291802951603046	-0.31813500806355305	-0.12770105096850787	26.362032723642276	3.3906377749458045e-4	0.00936740745278209	WT_vs_bisC
P66899	0.5576805713517814	0.3182633739337724	0.7970977687697904	26.45808006491428	3.52816632721753e-4	0.009659547268841509	WT_vs_bisC
P33224	0.585874018800336	0.3328049051018352	0.8389431324988368	24.351962641105388	3.701693697772217e-4	0.010044149238865865	WT_vs_bisC
